Task,TaskLabel,TaskDescription
BrainstormEquations1,Brainstorm Equations,Come up with as many equations as possible following some constraints 
BrainstormObject1,Brainstorm Object,Come up with as many unique uses for an object as possible
BrainstormWords1,Brainstorm Words,Come up with as many words for a specific pattern as possible
MatrixSolving1,Matrix Reasoning,Solve matrix puzzle problems 
MemoryPicture1,Memory Picture,Remember about a picture and answer specific questions 
MemoryVideo1,Memory Video,Remember about a video and answer specific questions 
MemoryWords1,Memory Words,Remember a long list of words
Sudoku1,Sudoku,Fill a 9x9 grid with numbers following logic
TypingNumbers1,Typing Numbers,Create a copy of text as accurately as possible
TypingText1,Typing Text,Create a copy of a long list of numbers as accurately as possible
UnscrambleWords1,Unscramble Words,Figure out a correct word in a set of letters randomly shuffled 
