Session,TeamID,TeamSize,TeamCongruence,TeamCoverage,effortMax,effortMean,TeamEffort,CI,SkillMax,SkillMean
Bots In Groups C2 - Group 1,26003,3,1,0.1815,1305,1196,3588,383.1101152,0.0762,0.0699
Bots In Groups C2 - Group 2,26004,3,1,0.1299,1043,937.3333,2812,188.4769976,0.0609,0.0547
Bots In Groups C2 - Group 3,26005,3,1,0.1021,1288,648.3333,1945,259.9512195,0.0752,0.0379
Bots In Groups C3 - Group 1,26006,3,1,0.1363,1180,953.6667,2861,331.1357388,0.0689,0.0557
Bots In Groups C3 - Group 2,26007,3,1,0.1454,1445,951.3333,2854,298.3225806,0.0844,0.0556
Bots In Groups C3 - Group 3,26008,3,1,0.0635,782,260.6667,782,170.2663043,0.0457,0.0152
Bots In Groups C3 - Group 4,26009,4,1,0.226,2165,1272.5,5090,155.1358198,0.1264,0.0743
Bots In Groups C4 - Group 2,26010,3,1,0.2559,2496,1713.3333,5140,178.8771992,0.1458,0.1001
Bots In Groups C4 - Group 3,26011,3,1,0.1644,1290,1083,3249,419.1936027,0.0753,0.0632
Bots In Groups C4 - Group 4,26012,3,1,0.1061,932,789,2367,248.8489426,0.0544,0.0461
Bots In Groups C5 - Group 1,26013,3,1,0.1102,1228,791.6667,2375,256.086747,0.0717,0.0462
Bots In Groups C5 - Group 2,26014,3,1,0.043,321,232.3333,697,118.0083333,0.0187,0.0136
Bots In Groups C5 - Group 3,26015,3,1,0.1454,1261,1049,3147,351.721202,0.0736,0.0613
Bots In Groups C5 - Group 4,26016,3,1,0.0752,738,559,1677,219.1735849,0.0431,0.0327
Bots In Groups C5 - Group 5,26017,3,1,0.1547,1438,1011,3033,298.6909091,0.084,0.059
Bots In Groups C5 - Group 6,26018,3,1,0.109,748,698.6667,2096,310.5029762,0.0437,0.0408
Bots In Groups C6 - Group 1,26019,3,1,0.1308,949,843.6667,2531,381.3002481,0.0554,0.0493
Bots In Groups C6 - Group 2,26020,3,1,0.082,778,551.6667,1655,192.4048583,0.0454,0.0322
Bots In Groups C6 - Group 3,26021,3,1,0.2075,3130,1624.6667,4874,410.6112805,0.1828,0.0949
Bots In Groups C6 - Group 4,26022,3,1,0.1843,1495,1238,3714,517.2159468,0.0873,0.0723
Bots In Groups C7 JPH - Group 1,26023,3,1,0.2703,2068,1898.3333,5695,503.7310087,0.1208,0.1109
Bots In Groups C7 JPH - Group 2,26024,3,1,0.1697,1276,1184.6667,3554,469.5745527,0.0745,0.0692
Bots In Groups C7 JPH - Group 3,26025,3,1,0.0339,972,324,972,119.1937984,0.0568,0.0189
Bots In Groups C7 JPH - Group 4,26026,3,1,0.0329,383,238,714,3.971920629,0.0224,0.0139
Bots In Groups C7 JPH - Group 5,26027,3,1,0.1749,1896,1219,3657,543.689769,0.1107,0.0712
Bots In Groups C8 JPH - Group 1,26028,3,1,0.1771,1408,1276.6667,3830,377.3524492,0.0822,0.0745
Bots In Groups C8 JPH - Group 2,26029,3,1,0.1551,1461,1137.3333,3412,253.8869123,0.0853,0.0664
Bots In Groups C8 JPH - Group 3,26030,3,1,0.103,1045,755,2265,145.2261307,0.061,0.0441
Bots In Groups C8 JPH - Group 4,26031,3,1,0.113,1646,796.3333,2389,342.4795181,0.0961,0.0465
Bots In Groups C8 JPH - Group 5,26032,4,1,0.1471,1058,782.5,3130,70.30577058,0.0618,0.0457
