TeamID,BrainstormObject1,BrainstormWords1,MatrixSolving1,MemoryPicture1,Sudoku1,TypingNumbers1,TypingText1,UnscrambleWords1,GroupSize,GroupSizeSq,FemaleProportion,RMEMean,AgeDiversity,TeamCongruence,TeamCoverage,TeamEffort,SkillMax,SkillAverage,StudyName,CollabStyle,Setting
26001,16,NA,NA,NA,2,NA,134,10,3,9,0.333333333,22.66666667,High,NA,NA,NA,NA,NA,Bots,Remote,lab
26002,12,NA,NA,NA,9,NA,149.8956276,13.5,3,9,0.333333333,22.66666667,High,NA,NA,NA,NA,NA,Bots,Remote,lab
26003,13,NA,NA,NA,12,NA,383.1101152,8,3,9,0.333333333,31,High,0.7181,0.342,0.2416,0.7473,0.4618,Bots,Remote,lab
26004,16,NA,NA,NA,10,NA,188.4769976,11,3,9,0,30,Medium,0.9707,0.4786,0.2543,0.8745,0.644,Bots,Remote,lab
26005,19,NA,NA,NA,9,NA,259.9512195,5,3,9,0.333333333,29.33333333,High,0.9236,0.4928,0.2138,0.6147,0.4183,Bots,Remote,lab
26006,10,NA,NA,NA,8,NA,331.1357388,4,3,9,0,28.66666667,High,0.354,0.3488,0.2081,0.6005,0.3766,Bots,Remote,lab
26007,11,NA,NA,NA,8,NA,298.3225806,10,3,9,0.333333333,28.33333333,High,0.9193,0.4533,0.2529,0.6378,0.424,Bots,Remote,lab
26008,7,NA,NA,NA,12,NA,170.2663043,5,3,9,0.666666667,26.33333333,High,0.9624,0.3444,0.1776,0.4208,0.2874,Bots,Remote,lab
26009,13,NA,NA,NA,46,NA,155.1358198,11,4,16,0.25,30.75,High,0.9537,0.6166,0.3572,1.3889,0.6432,Bots,Remote,lab
26010,16,NA,NA,NA,13,NA,178.8771992,12,3,9,0,24.33333333,Medium,0.9812,0.5169,0.3083,0.9281,0.6428,Bots,Remote,lab
26011,16,NA,NA,NA,4,NA,419.1936027,10.5,3,9,0.333333333,30,High,0.9774,0.5116,0.2441,0.6139,0.4592,Bots,Remote,lab
26012,16,NA,NA,NA,20,NA,248.8489426,6,3,9,0,31,High,0.969,0.3027,0.1598,0.5862,0.4203,Bots,Remote,lab
26013,9,NA,NA,NA,13,NA,256.086747,7.5,3,9,0.333333333,29.66666667,High,0.6967,0.3631,0.2228,0.8015,0.5071,Bots,Remote,lab
26014,12,NA,NA,NA,23,NA,118.0083333,12,3,9,0.333333333,30,High,0.8302,0.4656,0.2582,0.7378,0.5829,Bots,Remote,lab
26015,7,NA,NA,NA,13,NA,351.721202,7,3,9,0.333333333,29.66666667,High,0.8713,0.309,0.202,0.6144,0.4312,Bots,Remote,lab
26016,10,NA,NA,NA,5,NA,219.1735849,4,3,9,0.333333333,28.33333333,Medium,0.8712,0.3884,0.1658,0.5569,0.4299,Bots,Remote,lab
